09/22/2022 10:37:54,CRITICAL,Unable to initialise wallet due to error: String value expected of type <class 'eth_utils.exceptions.ValidationError'>
09/22/2022 02:22:26,INFO,chain_id: MarginX-Testnet-AAPL
09/22/2022 02:22:26,INFO,Connected to database fxdex
09/22/2022 02:22:26,INFO,chain_id: MarginX-Testnet-BTC
09/22/2022 02:23:57,INFO,Baklava Client--Listening to order of Pair: AAPL:USDT, Direction: MarketBuy, Price: 14.9227245884, Amount: 8.039, OrderId: 20
09/22/2022 02:23:59,INFO,Execution of order of Pair: AAPL:USDT, Direction: MarketBuy, Price: 156.818754, Amount: 8.039, OrderId: ID-336308-9
09/22/2022 02:36:01,INFO,Baklava Client--Listening to order of Pair: AAPL:USDT, Direction: MarketBuy, Price: 14.9227245884, Amount: 20.1, OrderId: 21
09/22/2022 02:36:04,INFO,Execution of order of Pair: AAPL:USDT, Direction: MarketBuy, Price: 156.828364, Amount: 20.1, OrderId: ID-336526-5
09/22/2022 02:37:51,INFO,Baklava Client--Listening to order of Pair: AAPL:USDT, Direction: MarketBuy, Price: 14.9227245884, Amount: 20.1, OrderId: 22
09/22/2022 02:37:54,INFO,Execution of order of Pair: AAPL:USDT, Direction: MarketBuy, Price: 156.839952, Amount: 20.1, OrderId: ID-336559-9
09/22/2022 02:55:43,INFO,Baklava Client--Listening to order of Pair: AAPL:USDT, Direction: MarketBuy, Price: 14.9227245884, Amount: 6.7, OrderId: 23
09/22/2022 02:55:44,INFO,Execution of order of Pair: AAPL:USDT, Direction: MarketBuy, Price: 156.847382, Amount: 6.7, OrderId: ID-336881-9
09/22/2022 02:55:55,INFO,Baklava Client--Listening to order of Pair: AAPL:USDT, Direction: MarketBuy, Price: 14.9227245884, Amount: 6.7, OrderId: 24
09/22/2022 02:55:58,INFO,Execution of order of Pair: AAPL:USDT, Direction: MarketBuy, Price: 156.851919, Amount: 6.7, OrderId: ID-336885-3
09/22/2022 03:00:59,INFO,Baklava Client--Listening to order of Pair: AAPL:USDT, Direction: MarketBuy, Price: 14.9227245884, Amount: 8.24, OrderId: 25
09/22/2022 03:01:01,INFO,Execution of order of Pair: AAPL:USDT, Direction: MarketBuy, Price: 156.857116, Amount: 8.24, OrderId: ID-336976-9
09/26/2022 03:49:28,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/26/2022 03:52:29,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/26/2022 03:54:59,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/26/2022 04:33:00,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/26/2022 04:33:48,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/26/2022 04:53:59,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/26/2022 04:54:05,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/26/2022 04:54:36,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/26/2022 04:55:52,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/26/2022 04:57:21,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/27/2022 02:34:30,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/27/2022 02:35:03,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/27/2022 02:36:59,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/27/2022 03:24:40,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/27/2022 03:26:03,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/27/2022 03:32:37,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/27/2022 03:33:33,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/27/2022 03:35:33,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/27/2022 03:36:00,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/27/2022 03:40:41,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/27/2022 03:42:40,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: 'BaklavaClient' object has no attribute 'pair_info' of type <class 'AttributeError'>
09/27/2022 05:37:00,ERROR,Baklava Client--failed to initialise syn token object dictionary due to: string indices must be integers of type <class 'TypeError'>
09/27/2022 05:37:14,INFO,Baklava Client--Listening to order of Pair: TSLA:USDT, Direction: MarketBuy, Price: 1395.8544099223, Amount: 0.078, OrderId: 2
09/27/2022 05:37:41,INFO,Baklava Client--Listening to order of Pair: TSLA:USDT, Direction: MarketBuy, Price: 1395.8544099223, Amount: 0.078, OrderId: 3
09/28/2022 05:14:12,ERROR,BaklavaClient, initialise_syntoken_object_dict,string indices must be integers,<class 'TypeError'>
09/28/2022 05:14:12,INFO,address: 0xb7F836669c0ac2968a53078b84a6627a7609aC60
09/28/2022 05:14:30,ERROR,BaklavaClient, initialise_syntoken_object_dict,string indices must be integers,<class 'TypeError'>
09/28/2022 05:14:31,INFO,address: 0xb7F836669c0ac2968a53078b84a6627a7609aC60
09/28/2022 05:14:31,INFO,Connected to database fxdex
09/28/2022 05:14:32,INFO,chain_id:,MarginX-Testnet-TSLA
09/28/2022 05:14:33,INFO,Connected to database fxdex
09/28/2022 05:14:35,INFO,chain_id:,MarginX-Testnet-AAPL
09/28/2022 05:14:36,INFO,Connected to database fxdex
09/28/2022 05:14:38,INFO,chain_id:,MarginX-Testnet-BTC
09/28/2022 05:19:53,ERROR,BaklavaClient,initialise_syntoken_object_dict,string indices must be integers,<class 'TypeError'>
09/28/2022 05:19:53,INFO,address: 0xb7F836669c0ac2968a53078b84a6627a7609aC60
09/28/2022 05:19:53,INFO,Connected to database fxdex
09/28/2022 05:19:55,INFO,MarginX-Testnet-TSLA
09/28/2022 05:19:56,INFO,Connected to database fxdex
09/28/2022 05:19:57,INFO,MarginX-Testnet-AAPL
09/28/2022 05:19:58,INFO,Connected to database fxdex
09/28/2022 05:19:59,INFO,MarginX-Testnet-BTC
09/28/2022 05:50:49,ERROR,BaklavaClient,initialise_syntoken_object_dict,string indices must be integers,<class 'TypeError'>
09/28/2022 05:50:49,INFO,address: 0xb7F836669c0ac2968a53078b84a6627a7609aC60
09/28/2022 05:50:49,INFO,Connected to database fxdex
09/28/2022 05:50:51,INFO,MarginX-Testnet-TSLA
09/28/2022 05:50:51,INFO,Connected to database fxdex
09/28/2022 05:50:53,INFO,MarginX-Testnet-AAPL
09/28/2022 05:50:54,INFO,Connected to database fxdex
09/28/2022 05:50:56,INFO,MarginX-Testnet-BTC
09/28/2022 05:54:34,ERROR,BaklavaClient,initialise_syntoken_object_dict,string indices must be integers,<class 'TypeError'>
09/28/2022 05:54:34,INFO,address: 0xb7F836669c0ac2968a53078b84a6627a7609aC60
09/28/2022 05:54:34,INFO,Connected to database fxdex
09/28/2022 05:54:36,INFO,MarginX-Testnet-TSLA
09/28/2022 05:54:37,INFO,Connected to database fxdex
09/28/2022 05:54:38,INFO,MarginX-Testnet-AAPL
09/28/2022 05:54:39,INFO,Connected to database fxdex
09/28/2022 05:54:40,INFO,MarginX-Testnet-BTC
09/28/2022 06:15:08,ERROR,BaklavaClient,initialise_syntoken_object_dict,string indices must be integers,<class 'TypeError'>
09/28/2022 06:15:08,INFO,address: 0xb7F836669c0ac2968a53078b84a6627a7609aC60
09/28/2022 06:15:08,INFO,Connected to database fxdex
09/28/2022 06:15:09,INFO,MarginX-Testnet-TSLA
09/28/2022 06:15:10,INFO,Connected to database fxdex
09/28/2022 06:15:12,INFO,MarginX-Testnet-AAPL
09/28/2022 06:15:12,INFO,Connected to database fxdex
09/28/2022 06:15:14,INFO,MarginX-Testnet-BTC
09/29/2022 10:39:49,INFO,address: 0xb7F836669c0ac2968a53078b84a6627a7609aC60
09/29/2022 10:39:49,INFO,Connected to database fxdex
09/29/2022 10:39:51,INFO,MarginX-Testnet-TSLA
09/29/2022 10:39:52,INFO,Connected to database fxdex
09/29/2022 10:39:53,INFO,MarginX-Testnet-AAPL
09/29/2022 10:39:54,INFO,Connected to database fxdex
09/29/2022 10:39:55,INFO,MarginX-Testnet-BTC
09/29/2022 10:40:15,INFO,BaklavaClient,Listening to order of,TSLA:USDT,MarketBuy,1352.9120671113,0.078,4
09/29/2022 10:40:18,INFO,MarginXClient,Execution of order of,TSLA:USDT,MarketBuy,304.641,0.078,ID-489762-1
09/29/2022 10:41:31,INFO,BaklavaClient,Listening to order of,AAPL:USDT,MarketBuy,14.7070708660393728,7.390000000000001,29
09/29/2022 10:41:36,ERROR,MarginXClient,aapl,open long position,out of gas in location: WritePerByte; gasWanted: 50000000, gasUsed: 52136321: out of gas
09/29/2022 10:41:36,ERROR,MarginXClient,aapl,get_order_info,'NoneType' object is not iterable,<class 'TypeError'>
09/29/2022 10:46:29,INFO,address: 0xb7F836669c0ac2968a53078b84a6627a7609aC60
09/29/2022 10:46:29,INFO,Connected to database fxdex
09/29/2022 10:46:30,INFO,MarginX-Testnet-TSLA
09/29/2022 10:46:31,INFO,Connected to database fxdex
09/29/2022 10:46:32,INFO,MarginX-Testnet-AAPL
09/29/2022 10:46:33,INFO,Connected to database fxdex
09/29/2022 10:46:34,INFO,MarginX-Testnet-BTC
09/29/2022 10:46:42,INFO,BaklavaClient,Listening to order of,TSLA:USDT,MarketBuy,1352.9120671113,0.078,5
09/29/2022 10:46:45,INFO,MarginXClient,Execution of order of,TSLA:USDT,MarketBuy,304.641,0.078,ID-489877-1
09/29/2022 10:46:52,INFO,BaklavaClient,Listening to order of,AAPL:USDT,MarketBuy,14.7070708660393728,7.390000000000001,30
09/29/2022 10:46:54,ERROR,MarginXClient,aapl,open_long_position,out of gas in location: WritePerByte; gasWanted: 50000000, gasUsed: 52136321: out of gas
09/29/2022 10:46:54,ERROR,MarginXClient,aapl,get_order_info,'NoneType' object is not iterable,<class 'TypeError'>
09/29/2022 10:49:03,INFO,address: 0xb7F836669c0ac2968a53078b84a6627a7609aC60
09/29/2022 10:49:03,INFO,Connected to database fxdex
09/29/2022 10:49:04,INFO,MarginX-Testnet-TSLA
09/29/2022 10:49:05,INFO,Connected to database fxdex
09/29/2022 10:49:06,INFO,MarginX-Testnet-AAPL
09/29/2022 10:49:07,INFO,Connected to database fxdex
09/29/2022 10:49:08,INFO,MarginX-Testnet-BTC
09/29/2022 10:49:14,INFO,BaklavaClient,Listening to order of,AAPL:USDT,MarketBuy,14.7070708660393728,7.390000000000001,31
09/29/2022 10:50:08,INFO,BaklavaClient,Listening to order of,AAPL:USDT,MarketBuy,14.7070708660393728,7.390000000000001,32
09/29/2022 10:50:16,INFO,MarginXClient,Execution of order of,AAPL:USDT,MarketBuy,153.799397,5.3,ID-488290-1
09/30/2022 10:53:50,INFO,address: 0xb7F836669c0ac2968a53078b84a6627a7609aC60
09/30/2022 10:53:50,INFO,Connected to database fxdex
09/30/2022 10:53:52,INFO,MarginX-Testnet-TSLA
09/30/2022 10:53:52,INFO,Connected to database fxdex
09/30/2022 10:53:54,INFO,MarginX-Testnet-AAPL
09/30/2022 10:53:54,INFO,Connected to database fxdex
09/30/2022 10:53:56,INFO,MarginX-Testnet-BTC
09/30/2022 10:54:25,INFO,address: 0xb7F836669c0ac2968a53078b84a6627a7609aC60
09/30/2022 10:54:25,INFO,Connected to database fxdex
09/30/2022 10:54:26,INFO,MarginX-Testnet-TSLA
09/30/2022 10:54:27,INFO,Connected to database fxdex
09/30/2022 10:54:28,INFO,MarginX-Testnet-AAPL
09/30/2022 10:54:28,INFO,Connected to database fxdex
09/30/2022 10:54:29,INFO,MarginX-Testnet-BTC
09/30/2022 10:56:39,INFO,address: 0xb7F836669c0ac2968a53078b84a6627a7609aC60
09/30/2022 10:56:39,INFO,Connected to database fxdex
09/30/2022 10:56:41,INFO,MarginX-Testnet-TSLA
09/30/2022 10:56:41,INFO,Connected to database fxdex
09/30/2022 10:56:43,INFO,MarginX-Testnet-AAPL
09/30/2022 10:56:43,INFO,Connected to database fxdex
09/30/2022 10:56:45,INFO,MarginX-Testnet-BTC
